job_id,process_steps,material_group,size_mm,dxf_complexity,ga_makespan,expert_makespan,roi_improvement,better_expert,note
JOB_062,6,A,318,0.18,533,554,-0.041,0,GA Optimization sufficient for standard job
JOB_063,6,A,311,0.12,576,583,-0.014,0,GA Optimization sufficient for standard job
JOB_064,16,K,973,0.49,1295,1153,0.11,1,Expert chose specific machine for K to avoid breakage
JOB_065,15,I,2629,0.76,1275,1103,0.134,1,Expert chose specific machine for I to avoid breakage
JOB_066,9,B,572,0.09,740,742,-0.004,0,GA Optimization sufficient for standard job
JOB_067,9,A,937,0.18,659,681,-0.035,0,GA Optimization sufficient for standard job
JOB_068,7,C,767,0.03,615,625,-0.017,0,GA Optimization sufficient for standard job
JOB_069,13,K,2831,0.45,1280,1098,0.142,1,Expert chose specific machine for K to avoid breakage
JOB_070,13,L,2875,0.6,1164,1020,0.123,1,Expert chose specific machine for L to avoid breakage
JOB_071,5,F,953,0.03,443,458,-0.036,0,GA Optimization sufficient for standard job
JOB_072,8,C,295,0.16,784,813,-0.038,0,GA Optimization sufficient for standard job
JOB_073,13,I,600,0.32,1243,1080,0.131,1,Expert chose specific machine for I to avoid breakage
JOB_074,7,F,844,0.12,767,778,-0.015,0,GA Optimization sufficient for standard job
JOB_075,5,B,871,0.14,784,789,-0.007,0,GA Optimization sufficient for standard job
JOB_076,10,F,424,0.04,756,774,-0.024,0,GA Optimization sufficient for standard job
JOB_077,13,I,2369,0.37,1237,1072,0.133,1,Expert chose specific machine for I to avoid breakage
JOB_078,8,C,973,0.18,713,719,-0.009,0,GA Optimization sufficient for standard job
JOB_079,7,F,362,0.15,643,660,-0.027,0,GA Optimization sufficient for standard job
JOB_080,10,C,984,0.16,648,660,-0.019,0,GA Optimization sufficient for standard job
JOB_081,12,K,1670,0.42,1171,1035,0.116,1,Expert chose specific machine for K to avoid breakage
JOB_082,5,B,436,0.08,478,485,-0.015,0,GA Optimization sufficient for standard job
JOB_083,15,L,2722,0.53,1031,917,0.11,1,Expert chose specific machine for L to avoid breakage
JOB_084,10,A,983,0.12,644,676,-0.05,0,GA Optimization sufficient for standard job
JOB_085,15,L,2704,0.67,1279,1099,0.14,1,Expert chose specific machine for L to avoid breakage
JOB_086,7,B,479,0.09,414,426,-0.031,0,GA Optimization sufficient for standard job
JOB_087,10,F,941,0.03,639,641,-0.004,0,GA Optimization sufficient for standard job
JOB_088,8,A,603,0.12,739,774,-0.049,0,GA Optimization sufficient for standard job
JOB_089,5,F,386,0.01,594,613,-0.034,0,GA Optimization sufficient for standard job
JOB_090,6,F,484,0.15,615,637,-0.037,0,GA Optimization sufficient for standard job
JOB_091,12,K,2709,0.33,1487,1312,0.117,1,Expert chose specific machine for K to avoid breakage
JOB_092,10,A,972,0.01,526,547,-0.04,0,GA Optimization sufficient for standard job
JOB_093,13,I,1017,0.54,1058,922,0.128,1,Expert chose specific machine for I to avoid breakage
JOB_094,14,L,1187,0.6,1493,1287,0.137,1,Expert chose specific machine for L to avoid breakage
JOB_095,13,L,942,0.59,1475,1304,0.116,1,Expert chose specific machine for L to avoid breakage
JOB_096,7,F,932,0.04,703,713,-0.015,0,GA Optimization sufficient for standard job
JOB_097,4,C,900,0.12,461,465,-0.01,0,GA Optimization sufficient for standard job
JOB_098,4,C,745,0.09,589,616,-0.047,0,GA Optimization sufficient for standard job
JOB_099,4,F,701,0.02,585,595,-0.018,0,GA Optimization sufficient for standard job
JOB_100,9,B,645,0.04,667,668,-0.002,0,GA Optimization sufficient for standard job
